172.26.32.11;1/1/1;Default
172.26.32.11;1/1/2;Default
172.26.32.11;1/1/5;95000
172.26.32.11;1/1/7;950000
172.26.32.18;1/1/1;Default
172.26.32.18;1/1/2;Default
172.26.32.18;1/1/3;95000
172.26.32.14;1/1/1;Default
172.26.32.14;1/1/2;Default
172.26.32.14;1/1/4;Default
172.26.32.14;1/1/5;95000
172.26.32.10;1/1/1;Default
172.26.32.10;1/1/2;Default
172.26.32.10;1/1/4;Default
172.26.32.10;1/1/5;95000
172.26.32.10;1/1/7;950000
172.26.32.12;1/1/1;Default
172.26.32.12;1/1/2;Default
172.26.32.12;1/1/5;95000
172.26.32.12;1/1/6;95000
172.26.32.12;1/1/7;950000
172.26.32.16;1/1/1;Default
172.26.32.16;1/1/2;Default
172.26.32.16;1/1/5;95000
172.26.32.16;1/1/6;Default
172.26.32.16;1/1/7;950000
172.26.32.13;1/1/1;Default
172.26.32.13;1/1/2;Default
172.26.32.13;1/1/3;142500
172.26.32.13;1/1/5;95000
172.26.32.13;1/1/6;Default
172.26.32.13;1/1/7;950000
172.26.32.25;1/1/1;142500
172.26.32.25;1/1/3;Default
172.26.32.25;1/1/9;Default
172.26.32.17;1/1/1;Default
172.26.32.17;1/1/2;Default
172.26.32.17;1/1/5;95000
172.26.32.17;1/1/6;Default
172.26.32.17;1/1/7;950000
172.26.32.197;1/1/1;Default
172.26.32.197;1/1/2;Default
172.26.32.197;1/1/5;Default
172.26.32.197;1/1/6;Default
172.26.32.197;1/1/7;950000
172.26.32.199;1/1/1;Default
172.26.32.199;1/1/2;Default
172.26.32.199;1/1/4;Default
172.26.32.199;1/1/5;Default
172.26.32.199;1/1/7;950000
172.26.32.189;1/1/1;Default
172.26.32.189;1/1/5;Default
172.26.32.189;1/1/7;Default
172.26.32.190;1/1/1;Default
172.26.32.190;1/1/2;Default
172.26.32.190;1/1/9;Default
172.26.32.214;1/1/1;Default
172.26.32.214;1/1/6;95000
172.26.32.202;1/1/4;Default
172.26.32.202;1/1/5;95000
172.26.32.202;1/1/6;95000
172.26.32.202;1/1/7;Default
172.26.32.202;1/2/1;950000
172.26.32.202;1/2/7;Default
172.26.32.202;1/2/8;351500
172.26.32.203;1/1/1;Default
172.26.32.203;1/1/2;Default
