172.26.32.11;1/1/1;-5,38;-2,00;-3,00;-9,00;-10,00;-10,15;-2,00;-3,00;-21,02;-22,01
172.26.32.11;1/1/2;-5,21;-2,00;-3,00;-9,00;-10,00;-9,36;-2,00;-3,00;-21,02;-22,01
172.26.32.18;1/1/1;-2,29;3,00;1,00;-5,50;-7,50;-12,80;0,00;-1,00;-21,49;-22,44
172.26.32.18;1/1/2;-2,62;3,00;1,00;-5,50;-7,50;-8,79;0,00;-1,00;-21,49;-22,44
172.26.32.18;1/1/3;-5,64;-2,00;-3,00;-10,00;-11,00;-6,39;-2,00;-3,00;-20,00;-22,01
172.26.32.14;1/1/1;-4,98;-2,00;-3,00;-10,00;-11,00;-11,30;-2,00;-3,00;-20,00;-22,01
172.26.32.14;1/1/2;-2,12;3,00;1,00;-5,50;-7,50;-15,17;0,00;-1,00;-21,49;-22,44
172.26.32.10;1/1/1;-6,70;-2,00;-3,00;-10,00;-11,00;-10,87;-2,00;-3,00;-20,00;-22,01
172.26.32.10;1/1/2;-5,81;-2,00;-3,00;-10,00;-11,00;-10,47;-2,00;-3,00;-20,00;-22,01
172.26.32.10;1/1/4;;;;;;;;;;
172.26.32.12;1/1/1;-6,78;-2,00;-3,00;-9,00;-10,00;-6,79;-2,00;-3,00;-21,02;-22,01
172.26.32.12;1/1/2;-6,19;-2,00;-3,00;-10,00;-11,00;-11,44;-2,00;-3,00;-20,00;-22,01
172.26.32.16;1/1/1;-2,32;3,00;1,00;-5,50;-7,50;-12,28;0,00;-1,00;-21,49;-22,44
172.26.32.16;1/1/2;-6,74;-2,00;-3,00;-10,00;-11,00;-5,34;-2,00;-3,00;-20,00;-22,01
172.26.32.13;1/1/1;-6,26;-2,00;-3,00;-10,00;-11,00;-11,18;-2,00;-3,00;-20,00;-22,01
172.26.32.13;1/1/2;-5,66;-2,00;-3,00;-10,00;-11,00;-8,61;-2,00;-3,00;-20,00;-22,01
172.26.32.13;1/1/3;-6,38;-2,00;-3,00;-9,00;-10,00;-5,00;-2,00;-3,00;-21,02;-22,01
172.26.32.17;1/1/1;-2,34;3,00;1,00;-5,50;-7,50;-11,91;0,00;-1,00;-21,49;-22,44
172.26.32.17;1/1/2;-2,63;3,00;1,00;-5,50;-7,50;-11,74;0,00;-1,00;-21,49;-22,44
172.26.32.197;1/1/1;-2,16;3,00;1,00;-5,50;-7,50;-12,13;0,00;-1,00;-21,49;-22,44
172.26.32.197;1/1/2;-5,44;-2,00;-3,00;-9,00;-10,00;-13,65;-2,00;-3,00;-21,02;-22,01
172.26.32.199;1/1/1;-5,88;-2,00;-3,00;-9,00;-10,00;-7,87;-2,00;-3,00;-21,02;-22,01
172.26.32.199;1/1/2;-1,83;3,00;1,00;-5,50;-7,50;-14,81;0,00;-1,00;-21,49;-22,44
172.26.32.189;1/1/1;-1,77;1,00;0,00;-5,00;-6,00;-10,65;-2,00;-3,00;-23,01;-23,98
172.26.32.190;1/1/1;-5,57;-2,00;-3,00;-9,00;-10,00;-13,64;-2,00;-3,00;-21,02;-22,01
172.26.32.190;1/1/2;-5,56;-2,00;-3,00;-9,00;-10,00;-8,00;-2,00;-3,00;-21,02;-22,01
172.26.32.214;1/1/1;-5,64;-2,00;-3,00;-9,00;-10,00;-13,61;-2,00;-3,00;-20,00;-21,02
172.26.32.202;1/1/7;-5,88;-2,00;-3,00;-10,00;-11,00;-8,29;-2,00;-3,00;-20,00;-22,01
172.26.32.202;1/2/7;-5,17;-2,00;-3,00;-9,00;-10,00;-8,84;-2,00;-3,00;-21,02;-22,01
172.26.32.203;1/1/1;-5,55;-2,00;-3,00;-10,00;-11,00;-9,24;-2,00;-3,00;-20,00;-22,01
172.26.32.203;1/1/2;-2,43;3,00;1,00;-5,50;-7,50;-9,32;0,00;-1,00;-21,49;-22,44
172.26.32.206;1/1/1;-5,73;-2,00;-3,00;-9,00;-10,00;-8,83;-2,00;-3,00;-21,02;-22,01
172.26.32.206;1/1/2;-5,21;-2,00;-3,00;-9,00;-10,00;-8,89;-2,00;-3,00;-21,02;-22,01
172.26.32.20;1/1/1;-6,02;-2,00;-3,00;-10,00;-11,00;-11,82;-2,00;-3,00;-20,00;-22,01
172.26.32.20;1/1/2;-6,25;-2,00;-3,00;-10,00;-11,00;-5,95;-2,00;-3,00;-20,00;-22,01
172.26.32.204;1/1/1;-1,81;3,00;1,00;-5,50;-7,50;-10,18;0,00;-1,00;-21,49;-22,44
172.26.32.204;1/1/2;-5,09;-2,00;-3,00;-9,00;-10,00;-8,55;-2,00;-3,00;-21,02;-22,01
172.26.32.248;1/1/5;-5,60;-2,00;-3,00;-9,00;-10,00;-8,33;-2,00;-3,00;-21,02;-22,01
172.26.32.248;1/1/6;-2,14;3,00;1,00;-5,50;-7,50;-10,18;0,00;-1,00;-21,49;-22,44
172.26.32.205;1/1/1;-6,56;-2,00;-3,00;-10,00;-11,00;-9,85;-2,00;-3,00;-20,00;-22,01
172.26.32.205;1/1/2;-5,01;-2,00;-3,00;-9,00;-10,00;-11,09;-2,00;-3,00;-21,02;-22,01
172.26.32.213;1/1/1;-5,49;-2,00;-3,00;-9,00;-10,00;-8,73;-2,00;-3,00;-20,00;-21,02
172.26.32.45;1/1/1;-2,21;3,00;1,00;-5,50;-7,50;-10,55;0,00;-1,00;-21,49;-22,44
172.26.32.45;1/1/4;-5,15;-2,00;-3,00;-9,00;-10,00;-7,71;-2,00;-3,00;-21,02;-22,01
